Country,State/Province,Latitude,Longitude
Malaysia,W.P. Labuan,5.316833599,115.2198613
Malaysia,Johor,2.0229012,103.3147721
Malaysia,Kedah,5.809826499,100.6715035
Malaysia,Kelantan,5.402130199,102.0635972
Malaysia,Melaka,2.3293744,102.2880962
Malaysia,Pahang,3.6168822,102.5994547
Malaysia,Perlis,6.486839199,100.2577623
Malaysia,Sabah,5.425735899,117.0326392
Malaysia,Sarawak,2.5023855,112.9547283
Malaysia,Selangor,3.2083304,101.304146
Malaysia,Terengganu,4.8630743,102.9949297
Malaysia,W.P. Kuala Lumpur,3.1526589,101.7022205
Malaysia,Negeri Sembilan,2.7831895,102.1925319
Malaysia,W.P. Putrajaya,2.9384381,101.69223
Malaysia,Pulau Pinang,5.406501299,100.2559077
Malaysia,Perak,4.812181,100.9797908
